"","track.id","track.name","danceability","energy","speechiness","liveness","valence"
"58","0ohcCrxZkBfFbkuRPOZQZX","dancing in the kitchen",0.619,0.736,0.0425,0.0864,0.299
"59","0P09TBGSKiQwfUsEh1UafT","The World Was Wide Enough",0.653,0.351,0.648,0.107,0.307
"60","0pxNyJJiL2zZZ5GgJ4JhsQ","6 Inch (feat. The Weeknd)",0.516,0.637,0.0632,0.11,0.324
"61","0qbbYfPZ9yMOyJfNAGVBop","Portrait",0.544,0.443,0.0276,0.132,0.0989
"62","0qbP1p2jMDkCKXIanfmYtI","Walk Away",0.685,0.787,0.0348,0.223,0.624
"63","0QIRm9sUkGnezGznkWCqCo","BANG BANG BANG",0.694,0.832,0.0598,0.355,0.424
"64","0rrfXLr1p1yxsUy7LrKoYT","Mutual",0.917,0.474,0.156,0.133,0.801
"65","0rTV5WefWd1J3OwIheTzxM","Talk",0.9,0.4,0.124,0.0876,0.338
"66","0rzNMzZsubFcXSEh7dnem7","Hold Up",0.524,0.397,0.405,0.521,0.552
"67","0sdbFOyfgAhAhWq8DpzkaW","the light is coming (feat. Nicki Minaj)",0.877,0.547,0.18,0.028,0.687
"68","0SjjcXfArhzePhEzDNkY8z","Anybody Have a Map?",0.634,0.603,0.258,0.536,0.744
"69","0skrS3ItclFdUYVZZeUy07","hate my favorite band",0.577,0.813,0.0306,0.196,0.795
"70","0sSXm4ao0VlCptMK21G32I","Stand by Me",0.744,0.137,0.0325,0.0965,0.684
"71","0U1W2LZVUX7qTm7dDpqxh6","When You're Gone",0.603,0.691,0.0372,0.583,0.577
"72","0UHdsqznjCoqPzZJTJZ5Kb","Speak",0.387,0.476,0.0351,0.188,0.478
"73","0UTHr20nqVFMoji8xYE9yl","Perfectly Wrong",0.465,0.311,0.0352,0.0986,0.311
"74","0v2LUO8oTHnkjQ8MmKuXyk","raindrops (an angel cried)",0.336,0.231,0.0497,0.188,0.429
"75","0vAgScrM7WMXmlybPzHHsy","By My Side",0.682,0.713,0.0511,0.0902,0.205
"76","0vVobm34c8dITzasWIBxJZ","Ces Soirees-La (feat. Erica Piccininni)",0.866,0.76,0.0469,0.52,0.868
"77","0WdR2AyLW1Drd3OUdwezM0","everytime",0.71,0.614,0.0431,0.0974,0.658
"78","0wdV94AXGRphrbkDWLNzVC","Roaring 20s",0.271,0.948,0.263,0.163,0.515
"79","0Wf2AKzIxyPzorOHA86VQ0","Blood Orange Morning Light",0.632,0.491,0.025,0.0827,0.395
"80","0XOnMqLQDO89iAg7dWWwnG","pete davidson",0.652,0.31,0.0509,0.182,0.304
"81","0xPaZrF25ltzvz1a2Pm5DQ","All I Want for Christmas Is You",0.503,0.465,0.0274,0.101,0.143
"82","0xwPzLmBAYro8BUz7MrtAo","Make You Miss Me",0.614,0.472,0.0297,0.111,0.168
"83","0yFtzyW55jcwZ48g7FtfoY","Always Something There to Remind Me",0.626,0.235,0.0312,0.109,0.252
"84","0YQcktqICwSWzlS4P4jzOz","Ex To See",0.615,0.824,0.107,0.342,0.637
"85","0z5QvYyZ7hJ43Aa2bp2N31","A Cautionary Tale",0.554,0.738,0.0403,0.551,0.425
"86","0ZTdalEIo0ZwDttOzA5LjH","Alabanza",0.498,0.0874,0.0661,0.105,0.141
"87","0ZWW07BD8W85lUbgx2sn7E","For Forever",0.371,0.457,0.0407,0.0882,0.166
"88","10LSITr9KpQs2uCh7g2QQh","Come Close",0.44,0.241,0.0512,0.112,0.277
"89","10RQKVSr4rS0coExTmi4dF","Something in the Water",0.451,0.893,0.0627,0.0813,0.0971
"90","10yIZv28DUZPHkdqJfzEZs","Remind Me - duet with Brad Paisley",0.484,0.78,0.0312,0.507,0.311
"91","11gaq0REAP9DMeiHkD2MAe","Writing's On The Wall",0.263,0.391,0.0307,0.0996,0.053
"92","11r0OH8zYLcBlryvnAiykT","Sherry",0.766,0.753,0.122,0.615,0.867
"93","136J2Jkg8sG7P5wilO9P1R","Meant To Be",0.5,0.156,0.0469,0.125,0.405
"94","13pgP4LlXf849wDkBJDi5h","Hello",0.336,0.381,0.0389,0.0974,0.146
"95","141SNZkvr2CYsiedNQmOCL","The Killing Kind",0.316,0.578,0.0535,0.0966,0.31
"96","14kYOiFVPb7E7NfFbqhdln","goodnight n go",0.708,0.454,0.0395,0.073,0.24
"97","153HGTa7ldbaV47MQ1tsEc","Kiss",0.832,0.54,0.0423,0.0483,0.843
"98","15byLK9MadQ44VM9opaGms","Crazy - Live Sessions",0.517,0.25,0.0355,0.101,0.249
"99","15O3cEqfhnudkoMfZcJ7XV","Fearless",0.357,0.699,0.0501,0.403,0.229
"100","15Ta8fxgKNNeahyeYC6dQG","Mad World",0.446,0.49,0.0559,0.148,0.541
"101","16HzLmAArSTpIUkgkizfOM","Not All Men",0.611,0.48,0.0336,0.151,0.208
"102","16sNPUamj4vnA7uQLozRpU","Hurricane",0.453,0.546,0.309,0.0965,0.398
"103","16YdPF3ZGFIfouwajAhv6C","Boyfriend - Acoustic Version",0.752,0.292,0.0924,0.1,0.62
"104","17FyWGvqby379Q92sn23jW","Queen",0.877,0.688,0.11,0.0872,0.921
"105","17JYzDCW1UTndfURuTydF2","Dance To This (feat. Ariana Grande)",0.736,0.756,0.047,0.106,0.712
"106","182nWGUIb6i8vwVtq6GLy0","Pillowtalk",0.448,0.198,0.0635,0.0904,0.461
"107","18ULKfQl3KpCnklAKFfO2t","Old Fashioned",0.52,0.878,0.0616,0.0433,0.783
"108","18VTV3LLdTUiWvZUGU0jNI","Over The Rainbow",0.429,0.464,0.0488,0.12,0.158
"109","18xmRkPWE0sGUzFyNNAAhN","Dying in LA",0.346,0.35,0.0328,0.0708,0.315
"110","19J2V5AdZkROQkqVrKnk75","Blah Blah Blah",0.818,0.821,0.261,0.281,0.746
"111","19TjLu6gqu4F1BDjgXOkP9","So Small",0.406,0.797,0.0401,0.0836,0.265
"112","1AaN8oIJlgTUFSZ2tYndWe","Say Somethin'",0.634,0.879,0.0414,0.485,0.918
"113","1AgGSwTaVhClOMC9MsvFzd","Eleonora",0.327,0.206,0.0384,0.303,0.215
"114","1B30e9XHKBfKlkHf2u3XnR","Little People",0.748,0.772,0.116,0.0519,0.659
"115","1bDLMtY69Cx6inNN9kaYkk","Numbers",0.504,0.739,0.0557,0.3,0.526
"116","1ByTNOl4eAizhAS2gmXVH6","When You're Home - Radio Edit",0.484,0.626,0.21,0.085,0.356
"117","1CONbh9I0awPEZ6VUVowW1","SPF",0.552,0.394,0.156,0.083,0.68
"118","1CzeuSrm71wHP9qsjg7p3F","The Story of Tonight - Reprise",0.724,0.305,0.257,0.128,0.594
"119","1CZgbcEZEhHH28HcBFvQIW","Never Ever Getting Rid of Me",0.622,0.542,0.051,0.114,0.939
"120","1DAeqBDSVMVvhSAIdd99gf","Hungry Heart",0.692,0.757,0.0498,0.273,0.557
"121","1DICQN9XQpTSRP310uLh6p","Beauty and the Beast (feat. Lorea Turner)",0.313,0.298,0.027,0.176,0.225
"122","1DLfR4MOfLYbV6v3xrmWa8","We Know",0.718,0.484,0.523,0.127,0.692
"123","1dZutYKh4BtPlxbC81wV34","Best of Wives and Best of Women",0.647,0.115,0.0544,0.0858,0.597
"124","1E87WkhGXw3iOn5b44NJRr","Way Too Good",0.369,0.417,0.0415,0.0778,0.342
"125","1eDFiq0YpNFrVBipuMzfCW","Whoop Dat Ass",0.614,0.601,0.246,0.299,0.903
"126","1ePtWetZ9PTQhQHjm7I3oQ","Last Name",0.427,0.883,0.102,0.105,0.724
"127","1EpugFOJBEIyLOIGSua9Ka","Just a Dream",0.517,0.807,0.0367,0.128,0.354
"128","1ezEEKOlrQ3gfMV5608xxn","Is This Love?",0.557,0.865,0.0387,0.176,0.603
"129","1FlAMUpKrjY4NdaqsXjl1w","Back in My Arms",0.543,0.781,0.0988,0.0868,0.522
"130","1H7Zqkq54andtaSSnLRrfp","You Will Be Found",0.293,0.624,0.0613,0.0874,0.213
"131","1iE5YFVOadPu2f7BHXQPyU","Mama's Song (writing session worktape 2/5/09)",0.448,0.367,0.0341,0.0665,0.383
"132","1Ip5p31SowqjJLo2ss1afJ","better off without me",0.62,0.468,0.04,0.322,0.646
"133","1is8gU4RVcN4J8xItxWoOY","I GUESS I'M IN LOVE",0.422,0.34,0.0351,0.149,0.223
"134","1jIMjbzcGCcCQn5iMu9CUc","That's Hilarious",0.714,0.442,0.0605,0.114,0.546
"135","1jNwL2XWMaCbQ8bFnzMkye","I Knew You When",0.658,0.62,0.0376,0.102,0.493
"136","1koPgdotTZ591wGLcB900G","Where Am I Now? (feat. Patti Murin)",0.334,0.42,0.0509,0.157,0.252
"137","1KXFoiT2n4QXRsFvhWNI4I","Why",0.693,0.416,0.0494,0.0631,0.235
"138","1LEp1sLVR06zJkNCl5shAZ","Flyin'",0.608,0.905,0.302,0.0761,0.842
"139","1mGO8rwCE9zk7H06OxcU5m","History Has Its Eyes on You",0.438,0.373,0.0291,0.123,0.274
"140","1mmAqhLcvPrknbslMiDlyU","Particular Taste",0.967,0.352,0.122,0.0676,0.612
"141","1MNevc3dOPDPRZ3SinWfje","Wicked Game",0.635,0.784,0.0773,0.0853,0.353
"142","1MwkzsFu9JJ3obNBybRHpV","Strange Time",0.271,0.246,0.0387,0.115,0.0743
"143","1O2aghW30o3yv8EwyKbQfj","See You Again",0.508,0.721,0.0258,0.0859,0.42
"144","1piXWeTvZCGO8GAvJHYUPc","Someone Gets Hurt (Reprise)",0.503,0.517,0.0953,0.0958,0.213
"145","1PVmjwNKTrb9CkrTR1mbUf","What Now",0.365,0.696,0.0571,0.127,0.267
"146","1QNhYH6jJpLld0a0cwSxbC","Poison (feat. Shogun)",0.37,0.635,0.0739,0.15,0.118
"147","1qpXhP3O5CSVQyc90dQeJc","Really Wanna Dance With You",0.689,0.869,0.0536,0.345,0.709
"148","1rqqCSm0Qe4I9rUvWncaom","High Hopes",0.579,0.904,0.0618,0.064,0.681
"149","1SqYy87R2qxTQa1PvDiM9Z","Runnin' (Lose It All)",0.324,0.604,0.0337,0.331,0.105
"150","1TEL6MlSSVLSdhOSddidlJ","needy",0.647,0.309,0.0366,0.202,0.195
"151","1TwLKNsCnhi1HxbIi4bAW0","House Party",0.747,0.861,0.0514,0.026,0.859
"152","1U0nWcWMR1gyHEHBvx5YpW","You",0.575,0.66,0.211,0.313,0.714
"153","1uTEsW6n80njACdk9HA8oA","Hundreds of Stories",0.607,0.407,0.0928,0.0741,0.558
"154","1uuMZsFHm1G1O1xYvfk3Kx","The Weight",0.719,0.397,0.0369,0.109,0.258
"155","1v4kdQ6zcsgHSxKMHefzKV","The Club",0.742,0.589,0.134,0.454,0.851
