"","track.id","track.name","danceability","energy","speechiness","liveness","valence"
"56","10dFTKzqjjuwFXxbG9zps9","Oogie Boogie's Song",0.466,0.556,0.139,0.679,0.548
"57","119e8pfjClkZgbgRMnHupo","Dragula - Hot Rod Herman Remix",0.536,0.957,0.066,0.638,0.549
"58","128P4o9nj5P7PMrnKib8QM","Coldest Winter",0.39,0.381,0.0567,0.107,0.266
"59","1326bnwC9n5ET98O7xwsJH","Infinite Power",0.711,0.828,0.0453,0.34,0.759
"60","13YYyfoQkvzZB50wHRCwnm","End Title",0.327,0.224,0.0349,0.088,0.151
"61","151euPGiYbCaSWblCKOkDx","Your Loves Whore",0.582,0.59,0.0488,0.0506,0.319
"62","174sLt5VKfDgSda436iIPK","Scalar Wave",0.0629,0.189,0.0522,0.344,0.0332
"63","17KGTOb8fkxlyTnB5eFnsh","Sing To Me",0.55,0.872,0.0588,0.0617,0.618
"64","19W5OTEcQI3ZoRW1HERMyy","Cancer",0.652,0.295,0.0477,0.0809,0.196
"65","19WfbfP4sZEk44d4KZtHPx","Freazy",0.659,0.776,0.0331,0.35,0.586
"66","1a6eBanC06lAP0hbKyZkC2","Raptus",0.286,0.341,0.0517,0.115,0.123
"67","1CQXNBt6zv15L8zDITcxRB","I Bet My Life",0.545,0.659,0.0394,0.415,0.599
"68","1CYjYSg9sdtbBoxSf8uhFD","This is Halloween",0.563,0.8,0.059,0.143,0.729
"69","1DBm36ErFnj5z8QOe03YA3","Looks Like Rain (feat. Chris Hartz & Ray Suen) - Live Multi-Synth Performance",0.518,0.508,0.0325,0.114,0.169
"70","1dMtQhWUQWCWyYRD3fbWDu","cschz 01",0.333,0.489,0.0363,0.165,0.0687
"71","1eGh6sHAWBAyuQTUh8wRIv","Photos in the Woods",0.0805,0.061,0.0438,0.112,0.0337
"72","1EJwlUuDiVlTv4WZfKAABf","Leaving Philadelphia (Arriving in Seattle)",0.564,0.114,0.038,0.108,0.204
"73","1EtYRZkhbMImxZl8ooqyzf","Nonsense - Original Mix",0.425,0.797,0.193,0.611,0.266
"74","1euszbbvkUzQzIhZUWFmXG","My Name Is Human",0.515,0.698,0.0279,0.0827,0.194
"75","1gka4VJFdGMQhesqRxna82","Junction Seven",0.442,0.993,0.157,0.404,0.223
"76","1gNcPHAiVIQZmqJFJdt3ti","Dry Hands",0.68,0.00713,0.0873,0.104,0.342
"77","1H36BBwHZuAWszr2EET29m","Rectifier - From ""TRON: Legacy""/Score",0.438,0.191,0.0373,0.121,0.0398
"78","1I63q5aYjoyai9CI8QXDrn","Touched",0.164,0.21,0.0378,0.332,0.273
"79","1ibDsc8JOdKlz6CzjxP62y","Knock Knock",0.528,0.929,0.0607,0.821,0.713
"80","1J0hTPAHYMr8tKHVjvQF5z","Zero Light",0.246,0.908,0.172,0.358,0.624
"81","1jKnft1iO8A9bcsAqpLD06","We Are - Original Mix",0.793,0.631,0.331,0.154,0.663
"82","1K4sIbWEPSaGrE894HkMnA","Them - Them Album Version",0.607,0.453,0.0451,0.0851,0.412
"83","1kAQmY7yNW6LFdDftDbe1X","Loomer",0.0931,0.433,0.039,0.148,0.453
"84","1KidRHMFKMKJ7ZkRsgePG2","Anything - Them Album Version",0.583,0.653,0.0235,0.0526,0.792
"85","1lgN0A2Vki2FTON5PYq42m","Warriors",0.365,0.851,0.065,0.238,0.309
"86","1lklm7l2pWgjHqNtlvTtgR","Incandescent",0.246,0.723,0.0521,0.572,0.132
"87","1Lmbbj55o2y0ElB3Abu3c2","Kidnap the Sandy Claws",0.685,0.9,0.0442,0.159,0.434
"88","1m9AgEvBZcqodTqxWeMHiK","Daydream - Remastered 2011",0.473,0.376,0.0322,0.108,0.0775
"89","1MgV7FIyNxIG7WzMRJV5HC","my tears ricochet",0.456,0.263,0.0332,0.0749,0.111
"90","1mJUgvCt49AbjS5bJu0kFc","Iter",0.485,0.366,0.0303,0.115,0.231
"91","1MnXNW03vkijBz0GHAsHgW","Falling For You",0.406,0.925,0.0486,0.14,0.407
"92","1my7ToiHOCDaQyXxkKJS1A","Hallucinations",0.19,0.102,0.0391,0.103,0.0354
"93","1N31Wy2PWz5HvCzMbff3mO","Snowcone",0.726,0.563,0.238,0.263,0.134
"94","1NFxiKX9bfDDsEXy8qpT45","Kyrie",0.238,0.135,0.0379,0.11,0.0479
"95","1Nv1h7ANN9E4rAjLP4OfgA","TRON Legacy (End Titles) - Remixed by Sander Kleinenberg",0.69,0.912,0.0485,0.338,0.601
"96","1oHNgH9bnGptSbYHyz3KBK","Making Christmas",0.594,0.63,0.114,0.0814,0.383
"97","1OJxI8lIWRqBvouJxW1nzN","Subwoofer Lullaby",0.329,0.0141,0.0398,0.104,0.0387
"98","1P2mHUjFClmnshI57cqbLn","Progigno De Axis",0.543,0.196,0.0492,0.34,0.153
"99","1pKmfhwbZvsyYUP2eOGdw5","Screen",0.718,0.714,0.0622,0.141,0.84
"100","1rDETmcizen79JghAEm1Se","Gonna Love Ya",0.718,0.666,0.0489,0.129,0.699
"101","1rn6JIHBuBZiwvA57jeoOB","Derezzed - Remixed by Avicii",0.712,0.725,0.104,0.283,0.156
"102","1ROBixGgXrYlcCcrBfxAoy","4ware",0.738,0.711,0.0442,0.11,0.64
"103","1rvbY7HXYsFXSlLqxphocK","Getchoo",0.338,0.895,0.0466,0.304,0.625
"104","1TctVlWvNpmKGHMuPqJ5G2","Oogie Boogie's Song",0.5,0.435,0.288,0.136,0.573
"105","1tinoQpYXzpZDrb0BjK1e7","Wet Hands",0.616,0.035,0.0432,0.0835,0.643
"106","1TT6gRprLQ5vSWgoWpyKfR","The Son of Flynn - Remixed by Ki:Theory",0.431,0.955,0.0361,0.164,0.282
"107","1U4qdg1F2WcpXh0a5mpYpn","What Else Is There to Do?",0.263,0.364,0.0481,0.143,0.0375
"108","1UJNbgfTzG1gZZTWFJdMf1","Superfast Jellyfish (feat. Gruff Rhys and De La Soul)",0.705,0.751,0.287,0.907,0.819
"109","1uzjBxuCIkIr1sMeznivWx","You Can Talk to Me",0.0759,0.000457,0.0566,0.104,0.29
"110","1vbQfjuzShxD4Occn6eR5m","I'm Finding It Harder To Be A Gentleman",0.573,0.53,0.0396,0.19,0.371
"111","1WCZofKjaaRStnNuF9mnW7","Fides Fragilis",0.164,0.241,0.0391,0.11,0.0657
"112","1xLb2qFkgVVJtAnEkjSJ6Y","South Capital Street",0.192,0.983,0.0781,0.189,0.62
"113","1xPec5BN0Zxv77zrWKq43S","The Son of Flynn - From ""TRON: Legacy""/Score",0.543,0.775,0.052,0.258,0.0222
