"","track.id","track.name","danceability","energy","speechiness","liveness","valence"
"57","2dhJM2skHC9D41gHj34Kgw","You’re The Best Thing About Me",0.65,0.78,0.0351,0.294,0.809
"58","2dpaYNEQHiRxtZbfNsse99","Happier",0.687,0.792,0.0452,0.167,0.671
"59","2eeXPTMbHyLsgD2V0H8xwn","Big Enough",0.502,0.524,0.0655,0.0456,0.183
"60","2HDE7gJUAf4FTH1ubzM042","HUMANS - Far Out Remix",0.407,0.742,0.0472,0.338,0.29
"61","2HpUjdaboRlwPOSZT1UZrZ","Electioneering - Remastered",0.204,0.951,0.0621,0.267,0.44
"62","2hUFjIbpKaRqs97OjUAmXb","Johnny Boy",0.561,0.841,0.0515,0.24,0.356
"63","2K87XMYnUMqLcX3zvtAF4G","Drag Me Down",0.73,0.703,0.0369,0.0657,0.595
"64","2kDEGoEVHfpNPMOs7IIG5y","Subterranean Homesick Alien - Remastered",0.326,0.636,0.0286,0.108,0.256
"65","2LjIRZayC1GOznKd5MletX","This Is America (Metal Version)",0.639,0.856,0.0539,0.136,0.479
"66","2P61EK6DMGyVyssLWS4fKy","Lane Boy",0.616,0.811,0.0626,0.0566,0.913
"67","2pDH9FivFnEQUvvZUPToa7","CMOS",0.585,0.609,0.0356,0.285,0.363
"68","2PMX8sBBrT0q7B4sQkBR7a","One Hell of a Time",0.586,0.758,0.114,0.256,0.703
"69","2Pquc3xvWghdFuf0HrjLUx","Climbing Up the Walls - Remastered",0.266,0.633,0.0386,0.185,0.227
"70","2Q4OrJV7rGtUpPsLGbchgr","Thief",0.416,0.715,0.0435,0.106,0.126
"71","2tpgdrjuM8vqzgHrsCWKjc","Whole Lotta Love",0.703,0.81,0.0563,0.243,0.543
"72","2uBhGx3m5iJrtsql8Qk00j","Levitate",0.7,0.934,0.17,0.114,0.224
"73","2uE9ZTSf2wJINqCHOrV6a0","Lancer",0.619,0.325,0.0746,0.0952,0.976
"74","2urxzpjOmYmpD1yZAT31r2","Gaster's Theme - Remix",0.388,0.971,0.0413,0.293,0.38
"75","2WHsVjndiTbqMTWy1gfOnV","A Reminder - Remastered",0.306,0.5,0.0276,0.227,0.139
"76","2Wn8X6fqkNihu33aV9YesP","Terminal",0.473,0.925,0.0558,0.0859,0.0665
"77","2x2SotEkKozaFh6H1aVnOZ","Who We Are",0.407,0.656,0.0413,0.343,0.39
"78","2Xaw1RrXP3mdooKWysuRJ8","Monster",0.472,0.774,0.0824,0.132,0.443
"79","2Z1HknKRrvUv5cheidF8Ag","Arabesque",0.401,0.834,0.055,0.373,0.163
"80","2Z8WuEywRWYTKe1NybPQEW","Ride",0.645,0.713,0.0393,0.113,0.566
"81","36tghkPg1AO4HsAzo6YpPp","House of Gold",0.68,0.693,0.0435,0.208,0.851
"82","3788uHPTofMSIvVyDxOtxQ","Space Invaders",0.662,0.767,0.0329,0.125,0.589
"83","3bnVBN67NBEzedqQuWrpP4","Tear in My Heart",0.655,0.632,0.0489,0.0722,0.447
"84","3C3cr2JQwXIhqAHqOardVO","Holding on to You",0.608,0.776,0.0511,0.0713,0.814
"85","3CRDbSIZ4r5MsZ0YwxuEkn","Stressed Out",0.734,0.637,0.141,0.0602,0.648
"86","3cShnBQsJ2zLR6iya0V3z1","Threatenin' Zeppelin",0.645,0.782,0.0617,0.207,0.723
"87","3dMocXkc8sJPu1bCdAOlwB","Press CLR For Clear",0.499,0.913,0.0387,0.0854,0.588
"88","3evAUkYDPeLX5kn0LbvGz4","Hypnocurrency",0.528,0.732,0.0504,0.109,0.0324
"89","3FJqW7EOrPBkO08hzSGC4X","Bonetrousle - Undertale Remix",0.535,0.717,0.107,0.0915,0.238
"90","3FvV3j98xtcylQF1drDc9j","Oh Ms Believer",0.501,0.328,0.0255,0.15,0.263
"91","3hqNHQeH0zhObqWTgI5ZPq","Hang",0.714,0.856,0.0608,0.164,0.742
"92","3iARls5EH6Q4fks2tWJStQ","Bury Me Low",0.533,0.824,0.101,0.269,0.389
"93","3JOVTP1RRDeSMr29BmHjjg","Channel 43 - NIGHT / MOVES Remix",0.602,0.853,0.0403,0.182,0.35
"94","3KgIZWuC7JJOgkcGeAWbZg","Battle Cry",0.358,0.909,0.0949,0.138,0.0419
"95","3LbC5JsZ1Sa4HGfhMFSS3o","Junkyard Jive",0.67,0.568,0.0817,0.0923,0.749
"96","3Mk62kPEDmcXpEvAM8ng72","The Airship",0.656,0.781,0.141,0.0592,0.648
"97","3MLtopC0uho28PxZN7Zecy","Fake You Out",0.84,0.608,0.0458,0.0874,0.727
"98","3oLe5ZILASG8vU5dxIMfLY","The Search",0.789,0.789,0.298,0.099,0.37
"99","3PmNDKYfKGALpIRz5CEQD1","One Step Closer – Spotify Singles",0.489,0.937,0.0494,0.14,0.345
"100","3Q1ihQlFp9V9VDYxlWb25u","The King's Court",0.685,0.696,0.0629,0.176,0.569
"101","3UaFnnUo80mv431WHEzaj9","Implicit Demand For Proof",0.495,0.262,0.0292,0.104,0.287
"102","3ubpkIvw8SDchaRPEKIQPS","Release",0.379,0.396,0.0292,0.118,0.407
"103","3y9z8ShoJTFEkb0Yjz2x49","Judas",0.637,0.862,0.0749,0.338,0.358
"104","40sRwFjfrRnaTdYPJIg4CP","Hometown",0.683,0.753,0.0317,0.357,0.389
"105","4bk6v5SBxNoVsbOvdOvUAJ","Addict With A Pen",0.553,0.787,0.0931,0.102,0.298
"106","4C64ZXG24vRJ4lwkxCA24G","We Are Number One (Remix)",0.495,0.96,0.0527,0.08,0.75
"107","4DRQBzgiM3SQqO5bXXPGpb","The Unknown",0.426,0.766,0.0894,0.0931,0.345
"108","4F4Wtw45jKohdzu9onG6WH","Airbag - Remastered",0.319,0.935,0.0548,0.128,0.63
