"","track.id","track.name","danceability","energy","speechiness","liveness","valence"
"60","07Oz5StQ7GRoygNLaXs2pd","Good as Hell (feat. Ariana Grande) - Remix",0.668,0.892,0.0645,0.735,0.478
"61","07r8arsmSKlYFYx2KLZ4hH","LIFE OR DEATH",0.689,0.574,0.0398,0.0795,0.196
"62","07yof2umfry1yGrAZUlyHU","LIFE ELSEWHERE 2K2K",0.682,0.493,0.0433,0.276,0.324
"63","08bNPGLD8AhKpnnERrAc6G","FRIENDS",0.626,0.88,0.0504,0.128,0.534
"64","08DlU63itukHK9nQQUvTYW","MONSTER",0.641,0.813,0.0312,0.0744,0.59
"65","08E0TIudwefGjA27W4zrnf","Majesty",0.559,0.805,0.0703,0.122,0.286
"66","08ELAHAbjyKUfwMF7acdAN","Voyager #2",0.191,0.186,0.0511,0.106,0.05
"67","08FkPtq0cXcOSNphaXJfwx","Intruxx",0.392,0.325,0.0327,0.214,0.0363
"68","08Hdc09jF6WFBUGkMpusVX","Work",0.557,0.855,0.114,0.32,0.244
"69","08KH0aATukXCmhQNPAp5ZB","ALIEN PARTY",0.425,0.684,0.161,0.103,0.166
"70","08pLB3gaeVAcsQ8mbdGxnA","THE JIGY BEAT",0.95,0.81,0.101,0.0767,0.396
"71","08QaHlMPWuO5PUxjl61bXn","He's a Pirate",0.465,0.687,0.0495,0.121,0.13
"72","08TvXzt1TIVVQyIoQphndN","Oxygen",0.691,0.507,0.0442,0.113,0.15
"73","098PU9y0wA153H6UI36uMy","Thelema",0.606,0.855,0.0383,0.082,0.422
"74","09CWfcYFhVhB1Bzfz1cLJ7","Sleep Talking",0.661,0.762,0.0402,0.162,0.583
"75","09kvhnq2ONdNo4NRtHBSvv","My Flaws Burn Through My Skin Like Demonic Flames from Hell",0.78,0.748,0.0352,0.115,0.0659
"76","09ml9rVHNtfvr6jJZPrcPX","Walla Walla",0.477,0.619,0.0803,0.53,0.615
"77","09RwbPylRR3yS3UZ7AjXQB","youth",0.717,0.403,0.11,0.114,0.402
"78","09uCosO83ICL1eZRWjBx69","Rose Bouquet",0.667,0.817,0.0549,0.0854,0.61
"79","09uSMbAnTnF8xbHOdMpeva","ILOVE",0.657,0.645,0.383,0.169,0.175
"80","09WWY8SJbQ2Sc6vqkRwNZ7","Young And On Fire",0.677,0.824,0.0554,0.318,0.63
"81","0a7dm5jcVp3j0sQeq6GYyN","Creepin n Lurkin",0.546,0.787,0.0456,0.0905,0.266
"82","0AfhKW16gd48rMIVeJDZam","Elevated - Christofi Remix",0.501,0.577,0.0596,0.118,0.31
"83","0AH6WMe3OlAlUb5miXt2FQ","Only Girl (In The World)",0.789,0.716,0.0432,0.069,0.611
"84","0ajXyIl3wJqDTwa0NIjgWE","Highway Unicorn (Road To Love)",0.721,0.846,0.0345,0.326,0.807
"85","0aN3so7FSmrpy23II8nL51","Summer",0.742,0.704,0.0281,0.269,0.396
"86","0aOluBqXYd0rFSCsgDyAWX","Take Me to Church",0.575,0.664,0.0481,0.116,0.437
"87","0APAKxMXB7jdDs4kw1l30y","OK",0.72,0.625,0.0362,0.0999,0.818
"88","0AQ61XIiteiuoVr1n8yrB5","Mindless Bliss",0.702,0.647,0.0336,0.0904,0.622
"89","0ariTOexWddQCu9mqMbaVc","Ruin My Life - Sleigh Remix",0.646,0.689,0.0442,0.0719,0.601
"90","0aUP7s7O3m8xFnQ1Ju0xbZ","Trouble",0.688,0.913,0.0434,0.27,0.534
"91","0AUvWawuP0ibk4SQ3sIZjk","Daisy",0.834,0.663,0.133,0.372,0.774
"92","0awvRwer2ByXjyDSON60Q3","Radar",0.648,0.664,0.164,0.33,0.484
"93","0aZXvP9d6sugo3xPmAAt8B","Ruined",0.889,0.62,0.271,0.356,0.42
"94","0B1QILlvPWfc9vovFYuUuk","FutureSex / LoveSound",0.853,0.839,0.0702,0.111,0.836
"95","0B5oEkdmrk1Uum7ewC8Gum","Rainbow Fur Coat",0.707,0.821,0.116,0.615,0.766
"96","0B6pGkZ1PI5Svqg5xUDbXU","ENGLISH BOYS",0.601,0.737,0.0349,0.158,0.502
"97","0b6wdul3A5sQNpIOv03OxP","Ocean Drive",0.686,0.718,0.0431,0.119,0.557
"98","0b9oOr2ZgvyQu88wzixux9","This Is America",0.854,0.463,0.137,0.354,0.549
"99","0BI0hfbmqybnd3TezrDME3","Met Him Last Night (feat. Ariana Grande)",0.538,0.512,0.0262,0.101,0.12
"100","0bi8mW6UkgK5AzzwkBVImX","Time",0.532,0.608,0.101,0.0409,0.343
"101","0BJYjPDuQ2MCAVkBzPd5TG","Ayahuasca",0.56,0.748,0.0412,0.0843,0.388
"102","0bKIXko2IX0y0yOG0dzlrk","Arcadia",0.505,0.945,0.045,0.367,0.222
"103","0blEaRi6SPnbAwIveDom3J","Stay Awake",0.657,0.581,0.0372,0.421,0.328
"104","0BOyn6SwOhDON30vKnw6fk","Make Sense",0.7,0.772,0.28,0.148,0.634
"105","0bR7clWMICLKbvORqR36p5","Colorblind",0.713,0.332,0.04,0.0948,0.395
"106","0bx6v84HtmEYFRBAOvDTgk","Your Love (Déjà Vu)",0.851,0.663,0.0532,0.103,0.605
"107","0C1JuOtscOvLIagbbJjy9y","You Should See Me in a Crown",0.54,0.484,0.0504,0.121,0.329
"108","0C27LzjXD8MKfAmHghlfa3","Shower",0.533,0.688,0.0425,0.45,0.453
