"","track.name","danceability","energy","speechiness","liveness","valence"
"101","Maurice's Monsters",0.558,0.519,0.0976,0.0982,0.152
"102","The Medicine Does Not Control Me",0.615,0.848,0.0387,0.525,0.202
"103","mm+i",0.673,0.552,0.0553,0.23,0.648
"104","Money Hungry (The Feeding)",0.385,0.525,0.186,0.0836,0.134
"105","Monster (Under My Bed)",0.665,0.597,0.0448,0.231,0.238
"106","Mothman",0.717,0.369,0.0404,0.102,0.241
"107","My Darling",0.511,0.79,0.449,0.265,0.456
"108","Nails",0.57,0.72,0.0724,0.533,0.411
"109","Grim Reaper",0.819,0.707,0.0478,0.0652,0.697
"110","Bad Behavior",0.612,0.71,0.252,0.168,0.48
"111","MY NAME IS BAYBE",0.601,0.816,0.191,0.39,0.437
"112","Nightmare",0.486,0.714,0.0463,0.0922,0.331
"113","outcast.",0.629,0.695,0.0316,0.0931,0.557
